country_code,year,week,rate_14_day,pps
HR,2022,48,135.87740999221967,73
HR,2022,49,211.92008399129531,73
HR,2022,50,288.40290966145864,73
HR,2023,1,222.9497670432553,76
HR,2023,2,149.39265542208602,76
HR,2023,3,94.5549354595248,76
HR,2023,4,60.01597491653301,76
HR,2023,5,48.5461401934855,76
HR,2023,6,55.69213202996656,76
HR,2023,7,75.16237065690048,76
HR,2023,8,82.87797053831844,76
HR,2023,9,79.22730079576833,76
HR,2023,10,81.55751552505563,76
HR,2023,11,91.96580798253892,76
HR,2023,12,102.42588298956191,76
HR,2023,13,106.56848695273936,76
HR,2023,14,102.24464406617292,76
HR,2023,15,114.2323042846176,76
HR,2023,16,143.07518437824046,76
HR,2023,17,145.53485548137706,76
HR,2023,18,117.52049618038969,76
HR,2023,19,84.0430779029621,76
HR,2023,20,55.74391457950628,76
HR,2023,21,42.20277787487006,76
HR,2023,22,30.21511765642537,76
HR,2023,23,18.09800106413139,76
HR,2023,24,12.893854835389748,76
HR,2023,25,8.803033421752037,76
HR,2023,26,6.162123395226426,76
HR,2023,27,5.488950251210094,76
HR,2023,28,5.540732800749812,76
HR,2023,29,5.877319372757977,76
HR,2023,30,6.524601242004451,76
HR,2023,31,9.19140254329992,76
HR,2023,32,13.152767583088336,76
HR,2023,33,20.40232451864884,76
HR,2023,34,36.79150144796954,76
HR,2023,35,58.333042056492175,76
HR,2023,36,92.40595965362652,76
HR,2023,37,126.32352960214172,76
HR,2023,38,139.39862336092048,76
HR,2023,39,129.27513492590563,76
HR,2023,40,118.50436462164431,76
HR,2023,41,120.31675385553446,76
HR,2023,42,115.63043312218998,76
HR,2023,43,117.33925725700068,76
HR,2023,44,105.6622923357943,76
HR,2023,45,95.12454350446173,76
HR,2023,46,116.9508881354528,76
HR,2023,47,144.21440046811423,76
CY,2020,10,3.6475978357586176,91
CY,2020,11,12.600792523529767,91
CY,2020,12,24.648918708308237,91
CY,2020,13,41.228908870847405,91
CY,2020,14,45.53970631310759,91
CY,2020,15,31.61251457657469,91
CY,2020,16,17.022123233540214,91
CY,2020,17,10.942793507275852,91
CY,2020,18,8.953194687771152,91
CY,2020,19,4.973997048761751,91
CY,2020,20,3.86866437125914,91
CY,2020,21,3.315998032507834,91
CY,2020,22,3.5370645680083563,91
CY,2020,23,4.089730906759662,91
CY,2020,24,2.2106653550052227,91
CY,2020,25,1.2158659452528724,91
CY,2020,26,1.7685322840041782,91
CY,2020,27,2.984398229257051,91
CY,2020,28,3.7581311035088794,91
CY,2020,29,4.200264174509923,91
CY,2020,30,13.042925594530814,91
CY,2020,31,20.44865453379831,91
CY,2020,32,21.001320872549616,91
CY,2020,33,19.67492165954648,91
CY,2020,34,15.695724020537082,91
CY,2020,35,9.616394294272718,91
CY,2020,36,4.86346378101149,91
CY,2020,37,10.279593900774286,91
CY,2020,38,18.901188785294654,91
CY,2020,39,25.975317921311365,91
CY,2020,40,34.596912805831735,91
CY,2020,41,91.18994589396544,91
CY,2020,42,174.53202977766233,91
CY,2020,43,219.18746994876784,91
CY,2020,44,270.14330638163824,91
CY,2020,45,287.2759628829287,91
CY,2020,46,313.91448041074165,91
CY,2020,47,371.72337944412817,91
CY,2020,48,457.4971952183308,91
CY,2020,49,553.7716714288083,91
CY,2020,50,567.8093964330915,91
CY,2020,51,521.3854239779818,91
CY,2020,52,549.018740915547,91
CY,2020,53,732.0618323099795,91
CY,2021,1,881.0606772373316,94
CY,2021,2,640.5402866127632,94
CY,2021,3,292.6920930026915,94
CY,2021,4,197.7440160052172,94
CY,2021,5,178.73229395217226,94
CY,2021,6,167.01576757064458,94
