country_code,year,week,rate_14_day
AT,2020,10,1.414422588707406
AT,2020,11,11.0146766947372
AT,2020,12,43.65776809238607
AT,2020,13,90.70124064907964
AT,2020,14,91.45856927925368
AT,2020,15,55.15134377385098
AT,2020,16,28.110256802342462
AT,2020,17,12.651842998201678
AT,2020,18,8.453123975030875
AT,2020,19,6.337058684838693
AT,2020,20,6.504116470906497
AT,2020,21,6.548665213857912
AT,2020,22,5.111968253674798
AT,2020,23,4.711029567112068
AT,2020,24,4.454874295141436
AT,2020,25,4.677618009898508
AT,2020,26,6.481842099430789
AT,2020,27,10.847618908669396
AT,2020,28,13.77669875772489
AT,2020,29,15.380453503975808
AT,2020,30,18.443179581885545
AT,2020,31,18.53227706778837
AT,2020,32,16.850562021372482
AT,2020,33,24.301339279996533
AT,2020,34,37.521178750828746
AT,2020,35,42.889302276474176
AT,2020,36,46.8430032134122
AT,2020,37,69.69650834748776
AT,2020,38,102.57348064563156
AT,2020,39,109.99084634704204
AT,2020,40,114.3009372275914
AT,2020,41,145.77462412276563
AT,2020,42,193.61997405258467
AT,2020,43,313.6231503779572
AT,2020,44,555.4671386754478
AT,2020,45,850.7139325859465
AT,2020,46,1031.4036339968832
AT,2020,47,986.0418764866056
AT,2020,48,800.1065605931398
AT,2020,49,603.7691132205189
AT,2020,50,465.1222879699795
AT,2020,51,373.4743865331823
AT,2020,52,314.69232020879105
AT,2020,53,315.52760913913005
AT,2021,1,329.1261129250493
AT,2021,2,284.9337599172463
AT,2021,3,235.03916781166217
AT,2021,4,219.05730627784223
AT,2021,5,207.4634959247367
AT,2021,6,206.85095070915477
AT,2021,7,234.82756128264296
AT,2021,8,287.3950779653119
AT,2021,9,339.58393033289383
AT,2021,10,384.5781607138224
AT,2021,11,437.6023020117433
AT,2021,12,483.0197454507102
AT,2021,13,479.7342756580434
AT,2021,14,427.3115423899666
AT,2021,15,383.0969150106878
AT,2021,16,354.7750516793261
AT,2021,17,307.1078967213127
AT,2021,18,239.9506667220556
AT,2021,19,164.29576400481616
AT,2021,20,110.1244925758963
AT,2021,21,81.37941618649619
AT,2021,22,62.123222045747326
AT,2021,23,45.7626961968404
AT,2021,24,29.93675526335045
AT,2021,25,18.743883596807592
AT,2021,26,14.623124873801764
AT,2021,27,19.155959469108176
AT,2021,28,36.58565514884904
AT,2021,29,52.63433979709607
AT,2021,30,64.48430542217228
AT,2021,31,77.1027368631604
AT,2021,32,106.5271815825696
AT,2021,33,155.5753475720768
AT,2021,34,194.9341619696514
AT,2021,35,230.65111663094785
AT,2021,36,282.4056187547535
AT,2021,37,310.1149368705332
AT,2021,38,284.1541569155965
AT,2021,39,271.2238842739485
AT,2021,40,282.5615393550834
AT,2021,41,313.05515390532656
AT,2021,42,436.2212909802494
AT,2021,43,650.2668636760576
AT,2021,44,1013.1386493868032
AT,2021,45,1503.887601739584
AT,2021,46,1956.870357255303
AT,2021,47,2000.5058509762132
AT,2021,48,1485.165992514252
AT,2021,49,890.5182344130352
AT,2021,50,534.4735435595938
AT,2021,51,372.5277257454648
AT,2021,52,419.1368480583821
AT,2022,1,949.1443801370964
AT,2022,2,1923.926561842732
AT,2022,3,3191.1823782101405
AT,2022,4,4491.114697532412
AT,2022,5,5113.315853149078
AT,2022,6,4992.054174835328
AT,2022,7,4587.37339386468
AT,2022,8,4241.708560118918
AT,2022,9,4481.135779111295
AT,2022,10,5749.1489241088775
AT,2022,11,6850.427261425054
AT,2022,12,6280.659976262203
AT,2022,13,4451.811569063527
AT,2022,14,2764.2717745067366
AT,2022,15,1779.8002412091687
AT,2022,16,1250.5054890176768
AT,2022,17,995.0629969342668
AT,2022,18,861.1383384365774
AT,2022,19,743.195541472708
AT,2022,20,557.3270486936693
AT,2022,21,396.21651980987934
AT,2022,22,387.5629264915671
AT,2022,23,500.2712461586454
AT,2022,24,737.4710280034512
AT,2022,25,1125.1453263523968
AT,2022,26,1464.5733360849606
AT,2022,27,1615.381968161236
AT,2022,28,1750.4760311614002
AT,2022,29,1814.8712390976696
AT,2022,30,1494.6771491343789
AT,2022,31,1086.5772521422098
AT,2022,32,907.7363235637569
AT,2022,33,849.3106471829769
AT,2022,34,794.76071143897
AT,2022,35,705.3291099640057
AT,2022,36,652.4943008236284
AT,2022,37,725.9106292075592
AT,2022,38,985.3847825280722
AT,2022,39,1511.2270071408293
AT,2022,40,2018.949030558099
AT,2022,41,2051.937374713621
AT,2022,42,1615.1146757035276
AT,2022,43,1065.9289097842293
AT,2022,44,740.3889706667688
AT,2022,45,603.379311719694
AT,2022,46,577.0955533783595
AT,2022,47,637.8489015783508
AT,2022,48,707.3003918396058
AT,2022,49,740.9346927679237
AT,2022,50,757.1949839451898
AT,2022,51,753.7424563664553
AT,2022,52,643.1836135467827
AT,2023,1,485.5812981704165
AT,2023,2,375.8577442810829
AT,2023,3,320.7398120644456
AT,2023,4,376.1695854817429
AT,2023,5,519.5831262280835
AT,2023,6,618.9379601954754
AT,2023,7,701.5647411846112
AT,2023,8,814.1060030656217
AT,2023,9,856.2045651547083
AT,2023,10,792.7560180061564
AT,2023,11,671.9398271219206
AT,2023,12,538.2379123389883
AT,2023,13,382.19480296592167
AT,2023,14,245.5081224052445
AT,2023,15,179.7430406232191
AT,2023,16,153.11402952401116
AT,2023,17,131.0067158343718
AT,2023,18,98.051783236063
AT,2023,19,71.87939675210707
AT,2023,20,56.17596486173351
AT,2023,21,48.29083735933317
AT,2023,22,39.30312846888532
AT,2023,23,27.83182715889612
AT,2023,24,22.90919106276484
AT,2023,25,19.991248399447198
BE,2020,6,0.0172152255241885
BE,2020,7,0.0
BE,2020,8,0.0
BE,2020,9,0.0
BE,2020,10,0.0
BE,2020,11,31.65879973898275
BE,2020,12,63.27456141415503
BE,2020,13,101.59565343099877
BE,2020,14,153.4220898715684
BE,2020,15,179.63227073214546
BE,2020,16,164.73249304096026
BE,2020,17,117.63163600678038
BE,2020,18,75.72977708090545
BE,2020,19,52.90238803583143
BE,2020,20,44.08819256744689
BE,2020,21,30.823861301059605
BE,2020,22,22.84460427059821
BE,2020,23,17.137757009329704
BE,2020,24,13.066356172859113
BE,2020,25,11.525593488444237
BE,2020,26,10.974706271670204
BE,2020,27,10.70787027604528
BE,2020,28,11.542808713968425
BE,2020,29,17.981303060014945
BE,2020,30,33.34589184035323
BE,2020,31,53.78036453756504
BE,2020,32,69.71305576020156
BE,2020,33,69.6441948581048
BE,2020,34,62.00924233812717
BE,2020,35,56.58644629800778
BE,2020,36,58.32518407595082
BE,2020,37,84.46650403443114
BE,2020,38,140.01142918822552
BE,2020,39,184.04797607909984
BE,2020,40,259.68306941962226
BE,2020,41,497.0638141726582
BE,2020,42,956.1680560644808
BE,2020,43,1528.841140739375
BE,2020,44,1764.2765650081776
BE,2020,45,1322.04324413006
BE,2020,46,757.2375175197199
BE,2020,47,484.4278386379038
BE,2020,48,332.02144707226256
BE,2020,49,271.57018264407446
BE,2020,50,276.55399043332704
BE,2020,51,297.42745138140566
BE,2020,52,260.9914265594606
BE,2020,53,185.7781062442808
BE,2021,1,195.11736609115303
BE,2021,2,230.5549078326952
BE,2021,3,238.72353234392267
BE,2021,4,266.9737174291161
BE,2021,5,269.13422823240177
BE,2021,6,236.01213432386297
BE,2021,7,240.0491047092852
BE,2021,8,275.5210769018757
BE,2021,9,284.7140073317924
BE,2021,10,324.3692793267607
BE,2021,11,435.4074839577769
BE,2021,12,545.0942933851443
BE,2021,13,549.7768347277236
BE,2021,14,465.3791915953892
BE,2021,15,418.02010617834645
BE,2021,16,419.99985711362814
BE,2021,17,389.1157425232339
BE,2021,18,359.4366937195328
BE,2021,19,306.6375970368465
BE,2021,20,272.4137286947597
BE,2021,21,251.1529251723868
BE,2021,22,182.8601255179308
BE,2021,23,123.31266042976262
BE,2021,24,71.15913470423338
BE,2021,25,46.670476396075166
BE,2021,26,55.82897637494348
BE,2021,27,99.701978623338
BE,2021,28,146.7942280447558
BE,2021,29,171.54111473577686
BE,2021,30,186.53557616734508
BE,2021,31,202.49409022826788
BE,2021,32,220.30324103304093
BE,2021,33,233.98073771200876
BE,2021,34,240.55695386224875
BE,2021,35,239.95442096890216
BE,2021,36,236.8901108255966
BE,2021,37,243.0359463377319
BE,2021,38,242.06328609561527
BE,2021,39,232.087062904348
BE,2021,40,243.0617691760182
BE,2021,41,325.307509117829
BE,2021,42,541.1692219656293
BE,2021,43,816.1996649400656
BE,2021,44,969.6647928754444
BE,2021,45,1132.064622857877
BE,2021,46,1607.2048473254813
BE,2021,47,2055.5237504264
BE,2021,48,2092.4245863374977
BE,2021,49,1774.795067803457
BE,2021,50,1256.599564299857
BE,2021,51,880.240303890047
BE,2021,52,1058.7880154141687
BE,2022,1,2011.4441654717148
BE,2022,2,3052.595182336352
BE,2022,3,4738.5941168860445
BE,2022,4,5771.834737622317
BE,2022,5,4344.744187343659
BE,2022,6,2475.928165339846
BE,2022,7,1419.5761043373502
BE,2022,8,929.7685077231376
BE,2022,9,769.9251387310468
BE,2022,10,876.8230816234956
BE,2022,11,1112.1724297646774
BE,2022,12,1295.9621774609143
BE,2022,13,1292.8978673176089
BE,2022,14,1157.1730292849063
BE,2022,15,993.4390193243488
BE,2022,16,798.7003881947279
BE,2022,17,627.331425714193
BE,2022,18,545.9464470485916
BE,2022,19,478.15288893433706
BE,2022,20,352.13743809727686
BE,2022,21,217.39386791945307
BE,2022,22,176.61960626541247
BE,2022,23,214.2434816485265
BE,2022,24,289.3104725467508
BE,2022,25,415.7046583453431
BE,2022,26,590.6629953476714
BE,2022,27,820.4432180317781
BE,2022,28,886.1365186320817
BE,2022,29,666.496063781722
BE,2022,30,484.4880919272385
BE,2022,31,399.33297887183977
BE,2022,32,296.2826388840471
BE,2022,33,228.78173960370376
BE,2022,34,192.13913207546844
BE,2022,35,181.88746527581415
