country_code,year,week,rate_14_day,pps
CY,2021,15,45.31863977760707,94
CY,2021,16,38.6866437125914,94
CY,2021,17,37.58131103508879,94
CY,2021,18,49.73997048761751,94
CY,2021,19,45.31863977760707,94
CY,2021,20,29.843982292570505,94
CY,2021,21,25.42265158256006,94
CY,2021,22,23.21198622755484,94
CY,2021,23,23.21198622755484,94
CY,2021,24,16.579990162539172,94
CY,2021,25,4.421330710010445,94
CY,2021,26,3.315998032507834,94
CY,2021,27,6.631996065015668,94
CY,2021,28,16.579990162539172,94
CY,2021,29,37.58131103508879,94
CY,2021,30,59.68796458514101,94
CY,2021,31,58.5826319076384,94
CY,2021,32,56.371966552633175,94
CY,2021,33,63.003962617648845,94
CY,2021,34,59.68796458514101,94
CY,2021,35,46.42397245510968,94
CY,2021,36,38.6866437125914,94
CY,2021,37,34.26531300258095,94
CY,2021,38,17.68532284004178,94
CY,2021,39,11.053326775026113,94
CY,2021,40,15.47465748503656,94
CY,2021,41,13.263992130031337,94
CY,2021,42,11.053326775026113,94
CY,2021,43,14.369324807533948,94
CY,2021,44,9.947994097523502,94
CY,2021,45,4.421330710010445,94
CY,2021,46,4.421330710010445,94
CY,2021,47,5.526663387513056,94
CY,2021,48,13.263992130031337,94
CY,2021,49,18.790655517544398,94
CY,2021,50,24.31731890505745,94
CY,2021,51,29.843982292570505,94
CY,2021,52,29.843982292570505,94
CY,2022,1,39.79197639009401,94
CY,2022,2,49.73997048761751,94
CY,2022,3,63.003962617648845,94
CY,2022,4,71.84662403766974,94
CY,2022,5,55.266633875130566,94
CY,2022,6,61.89862994014624,94
CY,2022,7,78.47862010268541,94
CY,2022,8,72.95195671517234,94
CY,2022,9,61.89862994014624,94
CY,2022,10,56.371966552633175,94
CY,2022,11,37.58131103508879,94
CY,2022,12,33.159980325078344,94
CY,2022,13,57.47729923013579,94
CY,2022,14,61.89862994014624,94
CY,2022,15,64.10929529515145,94
CY,2022,16,50.84530316512012,94
CY,2022,17,40.89730906759662,94
CY,2022,18,35.37064568008356,94
CY,2022,19,24.31731890505745,94
CY,2022,20,25.42265158256006,94
CY,2022,21,17.68532284004178,94
CY,2022,22,15.47465748503656,94
CY,2022,23,15.47465748503656,94
CY,2022,24,8.84266142002089,94
CY,2022,25,11.053326775026113,94
CY,2022,26,12.158659452528726,94
CY,2022,27,14.369324807533948,94
CY,2022,28,24.31731890505745,94
CY,2022,29,30.94931497007312,94
CY,2022,30,30.94931497007312,94
CY,2022,31,21.001320872549616,94
CY,2022,32,18.790655517544398,94
CY,2022,33,28.738649615067896,94
CY,2022,34,28.738649615067896,94
CY,2022,35,13.263992130031337,94
CY,2022,36,5.526663387513056,94
CY,2022,37,12.158659452528726,94
CY,2022,38,11.053326775026113,94
CY,2022,39,5.526663387513056,94
CY,2022,40,11.053326775026113,94
CY,2022,41,15.47465748503656,94
CY,2022,42,11.053326775026113,94
CY,2022,43,11.053326775026113,94
CY,2022,44,15.47465748503656,94
CY,2022,45,18.790655517544398,94
CY,2022,46,23.21198622755484,94
CY,2022,47,23.21198622755484,94
CY,2022,48,23.21198622755484,94
CY,2022,49,16.579990162539172,94
CY,2022,50,7.737328742518279,94
CY,2022,51,9.947994097523502,94
CY,2022,52,7.737328742518279,94
CY,2023,1,7.737328742518279,95
CY,2023,2,14.369324807533948,95
CY,2023,3,19.895988195047003,95
